Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,ax,ay,az,PAD,Packet (hex)
754,OK,3224153758,43690,170,5,3,127,4096,83447036934,8194308762,3224153758,3435973836,8,0,12,4096,080000000c000010aaaaaa05037f001006bcd46d130000009a3a6be8010000009eae2cc0cccccccc
760,OK,4096445477,43690,170,5,3,127,4096,83448038939,8195310767,4096445477,3435973836,0,0,14,4096,000000000e000010aaaaaa05037f00101b06e46d13000000af847ae80100000025cc2af4cccccccc
766,OK,3359807142,43690,170,5,3,127,4096,83449039009,8196310837,3359807142,3435973836,4,2,18,4096,0400020012000010aaaaaa05037f0010a148f36d1300000035c789e801000000a69642c8cccccccc
772,OK,2647835402,43690,170,5,3,127,4096,83450039840,8197311668,2647835402,3435973836,0,0,12,4096,000000000c000010aaaaaa05037f0010208e026e13000000b40c99e8010000000ac3d29dcccccccc
778,OK,158867266,43690,170,5,3,127,4096,83451040730,8198312558,158867266,3435973836,-2,0,22,4096,feff000016000010aaaaaa05037f0010dad3116e130000006e52a8e801000000421f7809cccccccc
784,OK,498323437,43690,170,5,3,127,4096,83452042850,8199314678,498323437,3435973836,2,0,18,4096,0200000012000010aaaaaa05037f0010621e216e13000000f69cb7e801000000edcfb31dcccccccc
790,OK,824450178,43690,170,5,3,127,4096,83453042799,8200314627,824450178,3435973836,4,2,22,4096,0400020016000010aaaaaa05037f00106f60306e1300000003dfc6e801000000821c2431cccccccc
796,OK,4258937282,43690,170,5,3,127,4096,83454043829,8201315657,4258937282,3435973836,2,0,14,4096,020000000e000010aaaaaa05037f0010b5a63f6e130000004925d6e801000000c239dafdcccccccc
802,OK,669679233,43690,170,5,3,127,4096,83455044929,8202316757,669679233,3435973836,2,0,14,4096,020000000e000010aaaaaa05037f001041ed4e6e13000000d56be5e801000000817eea27cccccccc
808,OK,1814548501,43690,170,5,3,127,4096,83456047021,8203318849,1814548501,3435973836,2,4,18,4096,0200040012000010aaaaaa05037f0010ad375e6e1300000041b6f4e80100000015d0276ccccccccc
814,OK,2429895104,43690,170,5,3,127,4096,83457046822,8204318650,2429895104,3435973836,-2,0,16,4096,feff000010000010aaaaaa05037f001026796d6e13000000baf703e901000000c041d590cccccccc
820,OK,1900720629,43690,170,5,3,127,4096,83458047826,8205319654,1900720629,3435973836,0,2,14,4096,000002000e000010aaaaaa05037f001052bf7c6e13000000e63d13e901000000f5b14a71cccccccc
826,OK,3913614018,43690,170,5,3,127,4096,83459048821,8206320649,3913614018,3435973836,-2,0,16,4096,feff000010000010aaaaaa05037f001075058c6e13000000098422e901000000c20245e9cccccccc
