Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,
93714,OK,85123290,43690,170,12,5,0,0,67094028268,102421565,85123290,3435973836,35.3568964,-117.7967598,10365088,-4437,40626,45891,773,2021,4,10,18,6,6,25,3,0,0,0,
94038,OK,1886176267,43690,170,12,5,0,0,67095057573,103450870,1886176267,3435973836,35.3568606,-117.7963121,10319824,-3093,40978,44551,788,2021,4,10,18,6,7,23,3,0,0,0,
94362,OK,1591231990,43690,170,12,5,0,0,67096085994,104479291,1591231990,3435973836,35.3568177,-117.7958732,10275258,-5960,39697,45255,799,2021,4,10,18,6,8,24,3,0,0,0,
94686,OK,334156474,43690,170,12,5,0,0,67097114097,105507394,334156474,3435973836,35.3567522,-117.7954446,10229520,-8378,38448,46536,807,2021,4,10,18,6,9,23,3,0,0,0,
95011,OK,985134808,43690,170,12,5,0,0,67098143279,106536576,985134808,3435973836,35.3566649,-117.7950315,10183370,-10674,36422,45558,811,2021,4,10,18,6,10,28,3,0,0,0,
95337,OK,2031569477,43690,170,12,5,0,0,67099169333,107562631,2031569477,3435973836,35.3565848,-117.7946185,10138655,-6509,38242,43758,814,2021,4,10,18,6,11,24,3,0,0,0,
95664,OK,2379504649,43690,170,12,5,0,0,67100199506,108592803,2379504649,3435973836,35.3565353,-117.794183,10094907,-4013,40711,44440,802,2021,4,10,18,6,12,25,3,0,0,0,
95828,OK,1470135304,43690,170,12,5,0,0,67100702561,109095859,1470135304,3435973836,35.3564891,-117.7937368,10049857,-5991,40619,46451,808,2021,4,10,18,6,13,25,3,0,0,0,
96152,OK,1843306210,43690,170,12,5,0,0,67101731311,110124609,1843306210,3435973836,35.3564197,-117.7933083,10003467,-9358,37407,46388,808,2021,4,10,18,6,14,21,3,0,0,0,
96480,OK,3724823894,43690,170,12,5,0,0,67102766282,111159579,3724823894,3435973836,35.3563314,-117.7929027,9958253,-10058,35945,42292,813,2021,4,10,18,6,15,22,3,0,0,0,
96802,OK,1444829603,43690,170,12,5,0,0,67103790556,112183853,1444829603,3435973836,35.3562455,-117.792505,9913792,-8763,35608,43790,819,2021,4,10,18,6,16,27,3,0,0,0,
97129,OK,144414908,43690,170,12,5,0,0,67104817465,113210762,144414908,3435973836,35.356178,-117.7921263,9871891,-6036,33482,42239,822,2021,4,10,18,6,17,24,3,0,0,0,
97454,OK,1267182223,43690,170,12,5,0,0,67105844274,114237571,1267182223,3435973836,35.3561287,-117.7917559,9826407,-4525,33727,46438,829,2021,4,10,18,6,18,24,3,0,0,0,
97781,OK,2669393466,43690,170,12,5,0,0,67106874553,115267851,2669393466,3435973836,35.356091,-117.7913725,9781840,-3522,36001,42790,835,2021,4,10,18,6,19,25,3,0,0,0,
98106,OK,1252443825,43690,170,12,5,0,0,67107899559,116292856,1252443825,3435973836,35.3560496,-117.7909614,9740943,-5315,38979,40862,827,2021,4,10,18,6,20,24,3,0,0,0,
98430,OK,2896909533,43690,170,12,5,0,0,67108926404,117319702,2896909533,3435973836,35.3559917,-117.7905375,9700485,-7387,38544,41165,828,2021,4,10,18,6,21,24,3,0,0,0,
98753,OK,3497427358,43690,170,12,5,0,0,67109951585,118344882,3497427358,3435973836,35.3559027,-117.790113,9659380,-12256,38676,41389,819,2021,4,10,18,6,22,25,3,0,0,0,
99079,OK,957339422,43690,170,12,5,0,0,67110978791,119372088,957339422,3435973836,35.3557848,-117.7897025,9617019,-13519,36154,42883,813,2021,4,10,18,6,23,26,3,0,0,0,
99403,OK,3777816758,43690,170,12,5,0,0,67112007257,120400554,3777816758,3435973836,35.3556834,-117.7893191,9574722,-8971,33428,42559,812,2021,4,10,18,6,24,25,3,0,0,0,
